,,,,,,,,,,,,,,
,S. No.,Image,Fabric Style No,Fabric type,Fibre Content,Colour,Surface Design,Fabric GSM,Dia (Inches),Quantity (Kg),SKU,NEW SKU,Design Developed,Design No
,1,,FAB 1,Corduroy,Polyester Cotton,Grey,Solid,260,60,137,AW16,SCH6049,"DES 1A, 1B , 1C","2A, 2C, 17C, 13B (Bottom), 20B (Skirt)"
,2,,FAB 2,Fleece,Polyester Cotton,Green,Solid,300,66,80,A10K4F116,SCH5778,"DES 2A , 2B , 2C","20A, 15B, 17C, 9C"
,3,,FAB 3,Single jersey,Cotton,Grey,Solid,200,28,20,G21,,"DES 3A , 3B , 3C ","17C, 16A, 11B, 5B,10B"
,4,,FAB 4,Single Jersey,Polyester Lycra,Maroon,Solid,180,, ,,SCH6053,"DES 4A, 4B , 4C","13A, 6B,19B,8C,18B"
,5,,FAB 5,Loop terry,Cotton,White and Blue Stripe,Stripe,200,,,,,"DES 5A , 5B, 5C","9A, 15B, 2B, 20A (Use backside)"
,6,,FAB 6,Single jersey,"Viscose = 94 %
Lycra = 6 %",Orange,Solid,250,,,,,"DES 6A, 6B , 6C","17B, 12C, 14B, 3A"
,7,,FAB 7,Single jersey (Printed),Cotton Lycra,Blue Print,Print,200,74,21,G3K1S136,,"DES 7A, 7B , 7C","11A, 15A, 3B, 10B, 8C, 16B"
,8,,FAB 8,Single jersey melange,Cotton = 100%,Blue Melange,Melange,145,,,,SCH6052,"DES 8A, 8B, 8C","7A, 3B, 18A, 16C, 13C"
,9,,FAB 9,Pique solid,Cotton,Green,Solid,220,86,80,Z15K1P105,SCH6096,"DES 9A, 9B, 9C","17A, 5B, Mens styles"
,10,,FAB 10,Single jersey,"Cotton = 95%
Lycra = 5%",Black,Solid,180,,,,SCH6093,"DES 10A, 10B, 10C","11C, 21C, 20C, 18B"
,11,,FAB 11,Single jersey,"Cotton = 86%
Lurex = 8%
Lycra = 2%",Black Lurex,Lurex,160,70,80,M1K6S104,SCH6051,"DES 11A, 11B, 11C","12A, 3A, 7B, 21B, 14C"
,12,,FAB 12,"Single Jersey b/w stripe
","Viscose = 94 %
Lycra = 6 %",White and Black Stripe,Stripe,280,25,80,B4K6S105,SCH6050,"DES 12A, 12B, 12C","16A, 5B, 8B,16C,15C, 5C"
,13,,FAB 13,Single jersey,"Cotton = 90%
Lurex =10%",White Lurex Pin Stripe,Pin Stripe,160,70,120,Z1K5S102,SCH6097,"DES 13A, 13B, 13C","10A, 15A, 19A, 21A, 21B, 8C"
,14,,FAB 14,2 x 2 Rib,"Cotton = 95%
Lycra = 5%",Yellow,Solid,340,,,,,DES 14B,"12B (Cord), 15C, 18C, 12C, 11C"
,15,,FAB 15,1 x 1 Rib,"Cotton = 95%
Lycra = 5%",White,Solid,290,,,,,"DES 15A, 15B, 15C","21C, 12C, 18C, 12B"
,16,,FAB 16,Single jersey - red and grey stripe,"Cotton = 90%
Lurex =10%",Red and Black Stripe,Stripe,150,32,100,B5K1S138,SCH6092,"DES 16A, 16B, 16C","21C, 19B, 6B, 10A"
,17,,FAB 17,Jacquard terry,Cotton = 100%,Orange,Jacquard,350,21,2,X1K1T104,SCH6098,"DES 17A, 17C","2B, 2C, 5B, 8B, 15B"
,18,,FAB 18,Slub single jersey,Cotton = 100%,Black,Slub,210,32,40,X7K7S4,,"DES 18A, 18B, 18C","14A, 16A, 16B, 14C, 10B"
,19*,,FAB 19,Ponte,Polyester = 100%,White,Solid,300,,25,L2K6S143,W6095,"DES 19A, 19B, 19C","3A, 15A, 8C, 12C (Overall), 8B (Inner) "
,20,,FAB 20,Popcorn,Cotton = 100%,White,Solid,180,38,80,g5k1j104,W5395,DES 20A,"5A, 10A, 17A, 15B, 18B, 2C"
,21,,FAB 21,Single Jersey,Nylon = 80%                             Lycra = 20%,Grey,Solid,135,60,8,L2K6S160,,"DES 21A, 21B, 21C","4A, 6A (Top), 13A, 4B, 6B, 20C"
,22,,FAB 22,Single Jersey Melange,Cotton,Light Pink,Melange,150,30,40,U1K1S270,SCH6082,,"18B, 16A, 5B, 10B, 7C, 21C, 8C"
,23,,FAB 23,SnowHeather Single Jersey,Cotton,Heather Melange,Melange,150,32,40,M2K4S121,SCH6083,,"18B, 16A, 5B, 10B, 7C, 21C, 8C"
,24,,FAB 24,Terry,Cotton,Black & off white,Print,250,70,50,E2K1T128,SCH5805,,"2A, 5A, 2B, 8B, 10B (Pants), 12B (Pants), 2C (Pants), 13C"
,25,,FAB 25,Single Jersey Melange Neps,Viscose,Charcoal,Neps,140,34,40,M2K2S126,SCH6084,,"13A, 16A, 18A, 6B, 18C, 21C, 8C"
,26,,FAB 26,GreyHeather Terry Melange,Polyester Cotton,Dark Grey ,Solid,270,35,100,M7K4T111,SCH6085,,"2A, 5A, 2B, 9C,15B, 2C (Overall)"
,27,,FAB 27,Terry,Cotton,Blue,Solid,300,70,50,G3K1T129,SCH5058,,"2A, 5A, 2B, 9C,15B, 2C (Overall)"
,28,,FAB 28,Fleece,Cotton,Green,Solid,280,66,50,B126,SCH5780,,"2A, 5A, 2B, 9C,15B, 2C (Overall)"
,29,,FAB 29,Jacquard,Polyester Spandex,White,Jacquard,220,60,250,AW18,SCH6086,,"8A, 6A, 7A, 15A, 19A, 21A, 8C, 19C"
,30,,FAB 30,Corduroy,Polyester Cotton,Red,Solid,320,60,225,AW14,SCH6087,"DES 1A, 1B , 1C","DES 2A, 10A, 2C, 17C, 20B (Skirt), 10A"
,31,,FAB 31,Corduroy,Polyester Cotton,Off white,Solid,300,60,250,AW15,SCH6088,,"10A (Full), 17A, 2B, 15B,11C, 5C, 15C"
,32,,FAB 32,Corduroy,Polyester Cotton,Olive Green,Solid,310,60,150,AW17,SCH6089,,"10A (Full), 17A, 2B, 15B,11C, 5C, 15C"
,33,,FAB 33,Fleece,Polyester Cotton,Orange,Solid,300,68,40,AW04,SCH6090,"DES 2A , 2B , 2C","DES 19A, 15B, 17C, 9C"
,34,,FAB 34,Jacquard,Polyester,Fushia,Jacquard,270,70,50,,SCH6091,,"7A, 8A, 15A, 21A, 3B, 6C, 5C, 14C"
,35,,FAB 35,Terry,Cotton,Grey,Solid,300,66,40,,SCH5059,,"2A, 5A, 2B, 9C,15B, 2C (Overall)"
,36,,FAB 36,Terry,Cotton,Lavender,Solid,310,66,40,,SCH5032,,"2A, 5A, 2B, 9C,15B, 2C (Overall)"
,37,,FAB 37,GreyHeather Melange Terry,Cotton,Grey Melange,Solid,325,66,40,,SCH5771,,"2A, 5A, 2B, 9C,15B, 2C (Overall)"
,38,,FAB 38,Terry,Cotton,Fushia,Solid,300,66,40,,SCH6042,,"2A, 5A, 2B, 9C,15B, 2C (Overall)"
,39,,FAB 39,Single Jersey Charcoal Melange ,Viscose Lurex,Charcoal Melange,Lurex,150,64,150,,SCH6043,,"18C, 16C, 14C, 13C, 11B, 16B, 13A, 11A"
,40,,FAB 40,Single Jersey,Cotton,Green,Solid,170,70,50,,SCH5003,,"18B, 9A, 13A, 18A, 3B, 9B, 10B, 9C"
,41,,FAB 41,Single Jersey,Cotton,Blue,Solid,170,70,50,,SCH5040,,
,42,,FAB 42,Shiffly,Cotton,White,Shiffly,150,66,70,,SCH5021,,
,43,,FAB 43,Single Jersey,Cotton Lycra,Multicolor,Print,170,66,40,Z17K6S156,SCH5046,,
,44,,FAB 44,Single Jersey Slub,Cotton,Multicolor,Slub Print,105,66,45,E1K1S147,SCH6047,,
,45,,FAB 45,Single jersey,Cotton Lycra,Multicolor,Print,180,64,50,Z17K6S145,SCH5844,,
,46,,FAB 46,Single Jersey,Cotton Lycra,Multicolor,Print,220,64,50,G3K1S137,SCH6054,,
,47,,FAB 47,Single Jersey Injected Slub,Polyester Viscose,Black & off white,Injected Slub,140,30,40,,SCH6055,,
,48,,FAB 48,Single Jersey Slub,Cotton,Grey Melange ,Allover Dot Print,255,70,40,E2K1S102,SCH6056,,
,49,,FAB 49,Fleece,Polyester Cotton,Olive Green,Solid,300,66,40,AW11,SCH6046,,
,50,,FAB 50,Single Jersey Yarn Dyed,Polyester Cotton,Black & white,Yarn Dyed Stripe,190,31,50,B5K1S112,SCH6057,,
,51,,FAB 51,Diagonal Terry,Cotton,Light Pink,Solid,250,70,400,,SCH6040,,
,52,,FAB 52,French Terry Grey Melange,Polyester Cotton,Grey Melange,Solid,200,35,200,M7K4T110,SCH5417,,
,53,,FAB 53,Terry Injected Slub,Polyester Cotton,Black & white,Injected Slub,240,65,40,,SCH5687,,
,54,,FAB 54,Terry Injected Slub,Polyester Cotton,Navy & white,Injected Slub,240,65,40,,SCH5812,,
,55,,FAB 55,Grey Melange Terry,Polyester Cotton,Grey Melange,Melange,260,70,40,Z17K4T109,,,
,56,,FAB 56,Fleece,Polyester Cotton,Black & mustard,Print,250,68,40,B2K5F151,SCH5796,,
,57,,FAB 57,Diagonal Terry,Cotton,Grey Melange,Solid,350,60,60,U1K1F187,SCH6080,,
,58,,FAB 58,Jacquard,Cotton,Multicolor,Jacquard,400,60,60,,SCH5109,,
,59,,FAB 59,Jacquard,Cotton,Multicolor,Jacquard,350,60,60,,SCH6021,,
,60,,FAB 60,Jacquard,Cotton,Multicolor,Jacquard,340,60,60,,SCH5108,,
,61,,FAB 61,Pique,Polyester Cotton,Charcoal Melange,Solid,350,35,140,M9K4P110,SCH6065,,
,62,,FAB 62,Single Jersey,Cotton Modal,Teal,Solid,150,64,70,,SCH6048,,
,63,,FAB 63,Jacquard Single Jersey,Cotton,Black & white,Jacquard,250,60,80,,SCH6066,,
,64,,FAB 64,Single Jersey,Polyester Cotton,Charcoal Melange,Solid,170,32,80,M1K4S102,SCH6067,,
,65,,FAB 65,Single Jersey,Cotton Modal,Camel ,Solid,190,64,60,A1K3S123,SCH6068,,
,66,,FAB 66,Single Jersey,Viscose,Off white,Solid,150,34,150,,,,
,67,,FAB 67,Jacquard Terry,Polyester Cotton,Blue,Jacquard,240,70,40,G3K4J143,SCH6069,,
,68,,FAB 68,3 thread Fleece,Cotton,Camel ,Solid,310,34,80,AW23,SCH6070,,
,69,,FAB 69,Terry,Cotton,Black,Solid,310,70,40,M67,SCH5091,,
