Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Title Characters,SEO Description,CONTENT (product.metafields.custom.content),GSM (product.metafields.custom.gsm),Description Characters,KNIT STYLE (product.metafields.custom.knit_style),OUNCE (product.metafields.custom.ounce),SHADE (product.metafields.custom.shade),Sustainable Blends (product.metafields.custom.sustainable_blends),FABRIC (product.metafields.custom.type),USAGE (product.metafields.custom.usage),WIDTH (product.metafields.custom.width),Folder (product.metafields.custom.folder),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable space (product.metafields.shopify.suitable-space),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
polyester-cotton-jacquard-single-jersey-stripe,Polyester Cotton Jacquard Single Jersey Stripe,"<p><span>A medium-lightweight (140 GSM) 60% cotton 40% polyester single jersey fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5253,1000,shopify,10,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1dTBno8Lw_wfz85yf6Vyr1wyR6Yh0Cn4i,1,Polyester Cotton Jacquard Single Jersey Stripe,FALSE,Poly Cotton Jacquard Jersey Stripe | Texongo,44,"Shop 140 GSM cotton polyester blend single jersey fabric in blue and white by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,140,150,SINGLE JERSEY,4.13,BLUE-&-WHITE,,POLY-COTTON-JACQUARD-S/J-STRIPE,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords-,-Scarves",72-inches-/-212-cm,1,,,,,,kg,,,active
polyester-cotton-jacquard-single-jersey-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=11BI-adChS18PCvtvoggz1cdetqEaAZS-,2,Polyester Cotton Jacquard Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-single-jersey-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1wx39eyeuBwfBofZ4y6WdhqJlmLdi7xP5,3,Polyester Cotton Jacquard Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
poly-cotton-jacquard-terry-stripe,Poly Cotton Jacquard Terry Stripe,"<p><span>A heavy-weight (365 GSM) 60% cotton 40% poly jacquard fabric by Texongo, offering comfort, durability, and a refined finish. Suitable for versatile apparel applications with a soft hand feel and excellent wearability.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,FALSE,Title,Default Title,,,,,,,,SCH5254,1000,shopify,0,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1iUBfsg1LlvY2eMSB6w9IuFgrfr3at4kM,1,Poly Cotton Jacquard Terry Stripe,FALSE,,,,60%-COTTON-40%-POLY,365,,JACQUARD,10.77,MAROON-&-BLACK,,POLY-COTTON-JACQUARD-TERRY-STRIPE,"Tops,-Dresses,-Co-ords,-Skirts,-Premium-Fashionwear",68-inches-/-200-cm,1,,,,,,kg,,,draft
poly-cotton-jacquard-terry-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1TF_Ve6fAODT6xMSWaptooHaqUmF5vTHv,2,Poly Cotton Jacquard Terry Stripe,,,,,,,,,,,,,,,,,,,,,,,,
yarn-dyed-cotton-stripe-single-jersey-sch5255,Yarn Dyed Cotton Stripe Single Jersey,"<p><span>A medium-weight (240 GSM) 100% cotton single jersey fabric by Texongo, offering comfort, durability, and a refined finish. Suitable for versatile apparel applications with a soft hand feel and excellent wearability.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,FALSE,Title,Default Title,,,,,,,,SCH5255,1000,shopify,0,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1O69A74KEi1NZbL4iNsXxzIcZDpWbkHrs,1,Yarn Dyed Cotton Stripe Single Jersey,FALSE,,,,100%-COTTON,240,,SINGLE JERSEY,7.08,NAVY-&-WHITE,,YARN-DYED-COTTON-STRIPE-S/J,"T-shirts,-Tops,-Dresses,-Co-ords,-Loungewear,-Kidswear",68-inches-/-200-cm,1,,,,,,kg,,,draft
yarn-dyed-cotton-stripe-single-jersey-sch5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1eMKiboIAZRShq0RAdEz_AI4kIPLybs6_,2,Yarn Dyed Cotton Stripe Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
yarn-dyed-cotton-stripe-single-jersey-sch5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1BoHfiz8xpAg-TW8PihBdKL-AjEJMrtRB,3,Yarn Dyed Cotton Stripe Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-honeycomb-pique-stripe,Polyester Cotton Honeycomb Pique Stripe,"<p><span>A medium-weight (210 GSM) 100% cotton pique fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5256,1000,shopify,12,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1Ljk7g31hTGU-ZDCk_an9iE8oSmqNgD8f,1,Polyester Cotton Honeycomb Pique Stripe,FALSE,Poly Cotton Honeycomb Pique Stripe | Texongo,44,"Shop 210 GSM 100% cotton pique fabric in navy and white by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",100%-COTTON,210,143,PIQUE,6.19,NAVY-&-WHITE,,POLY-COTTON-HONEYCOMB-PIQUE-STRIPE,"Tops,-Co-ords-,-T-shirt-,-Dresses,-Polo",76-inches-/-223-cm,1,,,,,,kg,,,active
polyester-cotton-honeycomb-pique-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1URniFAl_yCWwuiENCi-xjJVVt8f9oOAF,2,Polyester Cotton Honeycomb Pique Stripe,,,,,,,,,,,,,,,,,,,,,,,,
